City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,letpandan,17.7833,95.75,40.59,15,4,7.77,MM,1682507513
83,usinsk,65.9939,57.5281,1.0,83,16,1.88,RU,1682507513
84,barra do bugres,-15.0725,-57.1811,22.42,93,81,0.86,BR,1682507514
85,ikirun,7.9167,4.6667,32.78,49,98,3.49,NG,1682507514
86,constantia,44.1833,28.65,16.5,66,100,5.3,RO,1682507514
87,quellon,-43.1167,-73.6167,8.14,93,100,0.0,CL,1682507514
88,coquimbo,-29.9533,-71.3436,13.85,100,100,1.03,CL,1682507514
89,puerto ayora,-0.7393,-90.3518,23.08,98,1,0.45,EC,1682507259
90,flying fish cove,-10.4217,105.6791,27.54,78,100,4.74,CX,1682507515
91,hirara,24.8,125.2833,21.74,74,99,10.2,JP,1682507515
92,la plata,-34.9215,-57.9545,15.02,99,62,2.1,AR,1682507515
93,naze,28.3667,129.4833,16.41,67,40,6.8,JP,1682507516
94,monteiro,-7.8894,-37.12,24.21,69,79,3.99,BR,1682507516
95,el granada,37.5027,-122.4694,12.72,90,20,4.12,US,1682507516
96,lucas,41.6501,-83.6666,1.1,92,0,0.0,US,1682507517
97,minas novas,-17.2186,-42.5903,22.17,78,88,1.4,BR,1682507517
98,codrington,-38.2667,141.9667,20.42,50,100,7.18,AU,1682507517
99,san blas,21.5167,-105.2667,19.76,55,100,1.19,MX,1682507517
100,kenai,60.5544,-151.2583,2.3,77,100,2.06,US,1682507517
101,priozersk,61.0393,30.1291,19.5,55,20,3.62,RU,1682507518
102,st. john's,47.5649,-52.7093,3.21,92,100,8.49,CA,1682507346
103,lebu,-37.6167,-73.65,12.9,85,97,1.97,CL,1682507518
104,enewetak,11.3474,162.3373,26.99,84,94,9.28,MH,1682507518
105,sao vicente,-23.9631,-46.3919,25.1,26,89,1.36,BR,1682507459
106,sinabang,2.4803,96.3801,28.65,76,99,3.65,ID,1682507519
107,novoishimskiy,53.1981,66.7694,22.92,23,94,4.88,KZ,1682507519
108,badger,64.8,-147.5333,-2.07,61,75,3.09,US,1682507519
109,port blair,11.6667,92.75,30.52,64,100,3.2,IN,1682507519
110,vadso,70.0744,29.7487,3.09,81,20,4.63,NO,1682507519
111,fale old settlement,-9.3852,-171.2468,28.73,77,76,6.42,TK,1682507520
112,ryazhsk,53.7038,40.1109,14.36,66,100,6.91,RU,1682507520
113,itanagar,27.1,93.6167,29.16,41,64,0.74,IN,1682507467
114,taoudenni,22.6783,-3.9836,37.44,8,0,6.59,ML,1682507520
115,chulym,55.0997,80.9572,15.22,51,32,6.74,RU,1682507520
116,olonkinbyen,70.9221,-8.7187,-3.23,70,100,5.65,SJ,1682507521
117,newnham,-41.3833,147.1333,13.15,82,53,1.54,AU,1682507521
118,avarua,-21.2078,-159.775,25.03,78,100,2.57,CK,1682507331
119,meadow lake,34.8014,-106.5436,7.29,37,7,2.19,US,1682507522
120,afaahiti,-17.75,-149.2833,23.93,87,68,5.85,PF,1682507523
121,luderitz,-26.6481,15.1594,21.73,60,15,4.62,NA,1682507523
122,zabol,32.25,67.25,23.61,15,98,8.52,AF,1682507523
123,puerto deseado,-47.7503,-65.8938,8.38,87,6,5.19,AR,1682507524
124,sao joao da barra,-21.6403,-41.0511,24.05,86,11,2.29,BR,1682507525
125,salalah,17.0151,54.0924,33.05,62,20,6.69,OM,1682507526
126,yeed,4.55,43.0333,31.14,50,76,1.91,SO,1682507526
